año,Temperatura,Lluvias
1901,24.36844167,225.881325
1902,24.36501667,200.75845
1903,24.36756667,215.1809167
1904,24.3626,211.7021667
1905,24.366,214.1515917
1906,24.364675,213.8883667
1907,24.3617,232.0990833
1908,24.36643333,226.8134167
1909,24.36235833,227.7333333
1910,24.360775,241.8626667
1911,24.36852727,215.0673333
1912,24.37519167,227.7394167
1913,24.36615833,232.00005
1914,24.376375,199.5162083
1915,24.766825,240.7759167
1916,24.49810833,226.74975
1917,24.14383333,252.9825833
1918,24.189775,240.7759167
1919,24.36405833,226.74975
1920,24.36263333,252.9825833
1921,24.043825,215.0490833
1922,24.05699167,213.5119083
1922,24.08450833,225.0171417
1923,24.05699167,256.4
1924,24.08450833,241.8626667
1925,24.2611,223.0574583
1926,24.077975,190.8129917
1927,24.54260833,208.9352917
1928,24.10395833,223.8361667
1929,24.20805833,203.2082583
1930,24.25189167,242.5726667
1931,24.311175,240.471
1932,24.56164167,207.0739833
1933,24.26698333,204.6884667
1934,24.26006667,218.52565
1935,24.19083333,219.8295833
1936,24.30785833,221.5271167
1937,24.55701667,223.3420833
1938,24.50051667,230.8159167
1939,24.18846667,198.5928667
1940,24.30878333,223.4948333
1941,24.25288333,241.8626667
1942,24.67494167,202.7732333
1943,24.109475,203.886175
1944,23.96155,175.1710833
1945,24.18469167,197.0190083
1946,24.23335,219.9725
1947,24.20051667,208.5304167
1948,24.39933333,207.1322833
1949,24.51975,190.7141667
1950,24.23673333,216.9975833
1951,24.01539167,186.9396667
1952,24.331025,228.5687
1953,24.44740833,227.3123333
1954,24.443025,214.7526667
1955,23.85298333,216.67475
1956,24.01026667,203.4741667
1957,23.94744167,217.8935583
1958,24.64908333,240.5564167
1959,25.066025,241.9505
1960,24.70859167,189.7029583
1961,24.65710833,169.6685
1962,24.68938333,211.6741917
1963,24.61060833,222.58025
1964,24.77933333,219.9141833
1965,24.37153333,240.457275
1966,24.55946667,233.6383333
1967,24.56964167,222.5144917
1968,24.230425,200.1771667
1969,24.200825,208.8201167
1970,24.6023,221.5219167
1971,24.418425,214.8631417
1972,23.9425,207.9940833
1973,24.53900833,261.55775
1974,24.40278333,221.30275
1975,23.87038333,203.7188417
1976,23.82454167,266.62725
1977,24.036125,216.9334
1978,24.44305833,264.058
1979,24.34048333,196.7793583
1980,24.42235,211.6363417
1981,24.590975,209.6311
1982,24.37795833,214.0011667
1983,24.45330833,240.624725
1984,24.97580833,234.5681667
1985,24.15654167,200.9115917
1986,24.08443333,243.0593333
1987,24.25730833,186.7055083
1988,24.85850833,215.6592833
1989,24.54399167,201.8971
1990,23.94270833,223.276425
1991,24.3531,196.6540833
1992,24.54563333,194.7450833
1993,24.67561667,174.1887417
1994,24.558825,179.8372167
1995,24.38618333,223.3321667
1996,24.59575,215.8960083
1997,24.22359167,241.9791667
1998,24.58591667,235.6206667
1999,24.894725,199.5479583
2000,24.19259167,243.5425833
2001,24.18759167,245.2815
2002,24.51168333,199.8138083
2003,24.68451667,243.2512417
2004,24.724725,247.0239833
2005,24.54283333,245.3541333
2006,24.65679167,236.6049167
2007,24.51201667,255.2519667
2008,24.41920833,227.9330167
2009,24.178225,270.5045833
2010,24.65594167,221.4444167
2011,24.85333333,222.0768083
2012,24.63505,274.5869167
2013,24.63629167,187.0341417
2014,24.7245,193.9480333
2015,24.80075833,191.0806833
2016,25.183225,185.7424083
